Job ID,Profile ID,Match Score
J001,P001,0.9
J001,P002,0.5
J001,P003,0.4
J001,P004,0.2
J001,P005,0.1
J001,P006,0.8
J001,P007,0.0
J001,P008,0.0
J001,P009,0.0
J001,P010,0.0
J001,P011,0.0
J001,P012,0.0
J001,P013,0.0
J001,P014,0.0
J001,P015,0.0
J001,P016,0.0
J001,P017,0.0
J001,P018,0.0
J001,P019,0.0
J001,P020,0.8
J001,P021,0.6
J001,P022,0.3
J001,P023,0.5
J001,P024,0.4
J001,P025,0.2
J002,P001,0.9
J002,P002,0.5
J002,P003,0.4
J002,P004,0.0
J002,P005,0.0
J002,P006,0.6
J002,P007,0.0
J002,P008,0.0
J002,P009,0.0
J002,P010,0.0
J002,P011,0.0
J002,P012,0.0
J002,P013,0.0
J002,P014,0.0
J002,P015,0.0
J002,P016,0.0
J002,P017,0.0
J002,P018,0.0
J002,P019,0.0
J002,P020,0.8
J002,P021,0.6
J002,P022,0.3
J002,P023,0.4
J002,P024,0.2
J002,P025,0.1
J003,P001,0.0
J003,P002,0.0
J003,P003,0.0
J003,P004,0.0
J003,P005,0.0
J003,P006,0.0
J003,P007,0.0
J003,P008,0.0
J003,P009,0.0
J003,P010,0.0
J003,P011,0.0
J003,P012,0.0
J003,P013,0.0
J003,P014,0.0
J003,P015,0.0
J003,P016,0.0
J003,P017,0.0
J003,P018,0.0
J003,P019,0.0
J003,P020,0.0
J003,P021,0.0
J003,P022,0.0
J003,P023,0.0
J003,P024,0.0
J003,P025,0.0
J004,P001,0.0
J004,P002,0.0
J004,P003,0.0
J004,P004,0.0
J004,P005,0.0
J004,P006,0.0
J004,P007,0.0
J004,P008,0.0
J004,P009,0.0
J004,P010,0.0
J004,P011,0.0
J004,P012,0.0
J004,P013,0.0
J004,P014,0.0
J004,P015,0.0
J004,P016,0.0
J004,P017,0.0
J004,P018,0.0
J004,P019,0.0
J004,P020,0.0
J004,P021,0.0
J004,P022,0.0
J004,P023,0.0
J004,P024,0.0
J004,P025,0.0
J005,P001,0.8
J005,P002,0.4
J005,P003,0.3
J005,P004,0.6
J005,P005,0.5
J005,P006,0.9
J005,P007,0.0
J005,P008,0.0
J005,P009,0.0
J005,P010,0.4
J005,P011,0.0
J005,P012,0.0
J005,P013,0.0
J005,P014,0.0
J005,P015,0.0
J005,P016,0.0
J005,P017,0.0
J005,P018,0.0
J005,P019,0.0
J005,P020,0.5
J005,P021,0.3
J005,P022,0.2
J005,P023,0.7
J005,P024,0.5
J005,P025,0.2
J006,P001,0.8
J006,P002,0.4
J006,P003,0.3
J006,P004,0.0
J006,P005,0.0
J006,P006,0.9
J006,P007,0.0
J006,P008,0.0
J006,P009,0.0
J006,P010,0.4
J006,P011,0.0
J006,P012,0.0
J006,P013,0.0
J006,P014,0.0
J006,P015,0.0
J006,P016,0.0
J006,P017,0.0
J006,P018,0.0
J006,P019,0.0
J006,P020,0.5
J006,P021,0.3
J006,P022,0.2
J006,P023,0.6
J006,P024,0.4
J006,P025,0.2
J007,P001,0.0
J007,P002,0.0
J007,P003,0.0
J007,P004,0.0
J007,P005,0.0
J007,P006,0.0
J007,P007,0.9
J007,P008,0.3
J007,P009,0.8
J007,P010,0.5
J007,P011,0.0
J007,P012,0.0
J007,P013,0.0
J007,P014,0.0
J007,P015,0.0
J007,P016,0.0
J007,P017,0.0
J007,P018,0.0
J007,P019,0.0
J007,P020,0.0
J007,P021,0.0
J007,P022,0.0
J007,P023,0.0
J007,P024,0.0
J007,P025,0.0
J008,P001,0.0
J008,P002,0.0
J008,P003,0.0
J008,P004,0.0
J008,P005,0.0
J008,P006,0.0
J008,P007,0.0
J008,P008,0.0
J008,P009,0.0
J008,P010,0.0
J008,P011,0.9
J008,P012,0.8
J008,P013,0.6
J008,P014,0.4
J008,P015,0.3
J008,P016,0.2
J008,P017,0.0
J008,P018,0.0
J008,P019,0.0
J008,P020,0.0
J008,P021,0.0
J008,P022,0.0
J008,P023,0.0
J008,P024,0.0
J008,P025,0.0
J009,P001,0.0
J009,P002,0.0
J009,P003,0.0
J009,P004,0.0
J009,P005,0.0
J009,P006,0.0
J009,P007,0.0
J009,P008,0.0
J009,P009,0.0
J009,P010,0.0
J009,P011,0.0
J009,P012,0.0
J009,P013,0.0
J009,P014,0.9
J009,P015,0.8
J009,P016,0.6
J009,P017,0.0
J009,P018,0.0
J009,P019,0.0
J009,P020,0.0
J009,P021,0.0
J009,P022,0.0
J009,P023,0.0
J009,P024,0.0
J009,P025,0.0
J010,P001,0.0
J010,P002,0.0
J010,P003,0.0
J010,P004,0.0
J010,P005,0.0
J010,P006,0.0
J010,P007,0.0
J010,P008,0.0
J010,P009,0.0
J010,P010,0.0
J010,P011,0.0
J010,P012,0.0
J010,P013,0.0
J010,P014,0.5
J010,P015,0.4
J010,P016,0.3
J010,P017,0.9
J010,P018,0.8
J010,P019,0.6
J010,P020,0.0
J010,P021,0.0
J010,P022,0.0
J010,P023,0.0
J010,P024,0.0
J010,P025,0.0
J011,P001,0.8
J011,P002,0.6
J011,P003,0.5
J011,P004,0.0
J011,P005,0.0
J011,P006,0.0
J011,P007,0.0
J011,P008,0.0
J011,P009,0.0
J011,P010,0.0
J011,P011,0.0
J011,P012,0.0
J011,P013,0.0
J011,P014,0.0
J011,P015,0.0
J011,P016,0.0
J011,P017,0.0
J011,P018,0.0
J011,P019,0.0
J011,P020,0.9
J011,P021,0.7
J011,P022,0.4
J011,P023,0.3
J011,P024,0.2
J011,P025,0.1
J012,P001,0.3
J012,P002,0.7
J012,P003,0.4
J012,P004,0.8
J012,P005,0.6
J012,P006,0.2
J012,P007,0.0
J012,P008,0.0
J012,P009,0.0
J012,P010,0.0
J012,P011,0.0
J012,P012,0.0
J012,P013,0.0
J012,P014,0.0
J012,P015,0.0
J012,P016,0.0
J012,P017,0.0
J012,P018,0.0
J012,P019,0.0
J012,P020,0.5
J012,P021,0.3
J012,P022,0.4
J012,P023,0.9
J012,P024,0.8
J012,P025,0.6
